Category,Level1,Level2,Level3,Level4,DataOne,DataTwo,DataThree,DataFour,DataFive,DataSix
,OVERVIEW,ETH Royalties - unresolved:,,,176,0,0,0,web3.js.
,OVERVIEW,WHO WILL SOLVE a tricky puzzle for...,,,176,0,0,0,web3.js.
,OVERVIEW,1) OFF-CHAIN royalty OR,,,176,0,0,0,web3.js.
,OVERVIEW,2) ON-CHAIN infrastructure?,,,176,0,0,0,web3.js.
,OVERVIEW,Questions, What happened?, POST-MORTEM-2981 (below):,176,0,0,0,web3.js.
,OVERVIEW,Questions, What happened?, Review of OFF-CHAIN-ROYALTY,176,0,0,0,web3.js.
,OVERVIEW,Questions, What happened?, For a Retrospective ANSWER that reveals:,176,0,0,0,web3.js.
,OVERVIEW,Questions, What happened?, Surprise! History repeats itself...and ,176,0,0,0,web3.js.
,OVERVIEW,Questions, What happened?, Creators still not paid.,176,0,0,0,web3.js.
,OVERVIEW,Questions, What is next?, Is it ON-CHAIN-Royalty?,176,0,0,0,web3.js.
,OVERVIEW,Questions, What is next?, What is Current-State of ETH-ROYALTIES?,176,0,0,0,web3.js.
,OVERVIEW,Questions, What is next?, And Status-Review (below),176,0,0,0,web3.js.
,ERC-2981,POST-MORTEM:,,,267,0,0,0,0,0
,ERC-2981,'Royalty Standard','universal' - one size fits all,,267,0,0,0,0,0
,ERC-2981,'Royalty Standard','optional royalties',,267,0,0,0,0,0
,ERC-2981,'Royalty Standard','marketplace middleman',,267,0,0,0,0,0
,ERC-2981,ARCHITECTURE,'royalty signalling',,267,0,0,0,0,0
,ERC-2981,ARCHITECTURE,'royalty registries',,267,0,0,0,0,0
,ERC-2981,ARCHITECTURE,marketplace whitelisting/blacklisting,,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties','Marketplace Middleman',,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties',Sale on Marketplace Server (centralized),,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties',Sends Royalty Money to Creator (or not),,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties','Altruistic' Incentive to pay creators (or not),,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties',No penalty to not choose Altruism,,267,0,0,0,0,0
,ERC-2981,'OFF-CHAIN Royalties',What's not to love for a Marketplace?,,267,0,0,0,0,0
,ERC-2981,PROBLEMS,1) 'marketplace top-out point:',,267,0,0,0,0,0
,ERC-2981,PROBLEMS,- successful marketplace no longer needs creators,,267,0,0,0,0,0
,ERC-2981,PROBLEMS,2) 'incentive inversion point:',,267,0,0,0,0,0
,ERC-2981,PROBLEMS,- incentive shifts from creators ,,267,0,0,0,0,0
,ERC-2981,PROBLEMS,to marketshare and venture capital ,,267,0,0,0,0,0
,ERC-2981,PROBLEMS,and high-frequency-trading. And... ,,267,0,0,0,0,0
,ERC-2981,PROBLEMS,Creators don't get paid.,,267,0,0,0,0,0
,ERC-4910,Royalty Bearing Token (RBT),mint,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),transfer,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),list,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),executePayment,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),checkPayment,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),reversePayment,,176,0,0,0,web3.js.
,ERC-4910,Royalty Bearing Token (RBT),royaltyPayout,,176,0,0,0,web3.js.
,ERC-4910,Payment Module,addListNFT,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,getListNFT,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,removeListNFT,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,addRegisterPayment,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,getRegisterPayment,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,removeRegisterPayment,,176,0,0,0,Transaction Design
,ERC-4910,Payment Module,checkRegisterPayment,,176,0,0,0,Transaction Design
,ERC-4910,Royalty Module,anscestry,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,RoyaltyDistributed,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,createRoyaltyAccount,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,deleteRoyaltyAccount,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,getRoyaltyAccount,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,checkBalanceForPayout,,176,0,0,0,subscribe by Architecture address
,ERC-4910,Royalty Module,distributePayment,,176,0,0,0,subscribe by Architecture address
